MORGE Maxime;MANCARELLA Paolo;2010
BALVANERA Patricia;ZERMENO-HERNANDEZ Isela;2017
ASTIER Marta;GURRI Francisco D.;2017
ASTIER Marta;ZERMENO-HERNANDEZ Isela;2017
GURRI Francisco D.;ZERMENO-HERNANDEZ Isela;2017
GROMER Teja W.;KAEFFERLEIN Wolfgang;2017
GROMER Teja W.;MENGER Bjoern;2017
GROMER Teja W.;DOHRENBUSCH Ralf;2017
GROMER Teja W.;KAPPIS Bernd;2017
GROMER Teja W.;MAIHOEFNER Christian;2017
GROMER Teja W.;KORNHUBER Johannes;2017
GROMER Teja W.;PHILIPSEN Alexandra;2017
GROMER Teja W.;MUELLER Helge H. O.;2017
KAEFFERLEIN Wolfgang;MENGER Bjoern;2017
KAEFFERLEIN Wolfgang;DOHRENBUSCH Ralf;2017
KAEFFERLEIN Wolfgang;KAPPIS Bernd;2017
KAEFFERLEIN Wolfgang;MAIHOEFNER Christian;2017
KAEFFERLEIN Wolfgang;KORNHUBER Johannes;2017
KAEFFERLEIN Wolfgang;PHILIPSEN Alexandra;2017
KAEFFERLEIN Wolfgang;MUELLER Helge H. O.;2017
MENGER Bjoern;DOHRENBUSCH Ralf;2017
MENGER Bjoern;KAPPIS Bernd;2017
MENGER Bjoern;MAIHOEFNER Christian;2017
MENGER Bjoern;KORNHUBER Johannes;2017
MENGER Bjoern;PHILIPSEN Alexandra;2017
MENGER Bjoern;MUELLER Helge H. O.;2017
DOHRENBUSCH Ralf;KAPPIS Bernd;2017
DOHRENBUSCH Ralf;MAIHOEFNER Christian;2017
DOHRENBUSCH Ralf;KORNHUBER Johannes;2017
DOHRENBUSCH Ralf;PHILIPSEN Alexandra;2017
DOHRENBUSCH Ralf;MUELLER Helge H. O.;2017
KAPPIS Bernd;MAIHOEFNER Christian;2017
KAPPIS Bernd;KORNHUBER Johannes;2017
KAPPIS Bernd;PHILIPSEN Alexandra;2017
KAPPIS Bernd;MUELLER Helge H. O.;2017
MAIHOEFNER Christian;KORNHUBER Johannes;2017
MAIHOEFNER Christian;PHILIPSEN Alexandra;2017
MAIHOEFNER Christian;MUELLER Helge H. O.;2017
KORNHUBER Johannes;PHILIPSEN Alexandra;2017
KORNHUBER Johannes;MUELLER Helge H. O.;2017
PHILIPSEN Alexandra;MUELLER Helge H. O.;2017
GANI Ahmet;KECECIOGLU O. Fatih;2017
GANI Ahmet;ACIKGOZ Hakan;2017
GANI Ahmet;SEKKELI Mustafa;2017
KECECIOGLU O. Fatih;ACIKGOZ Hakan;2017
KECECIOGLU O. Fatih;SEKKELI Mustafa;2017
ACIKGOZ Hakan;SEKKELI Mustafa;2017
HARAN Kiruba S.;KALSI Swarn;2017
HARAN Kiruba S.;ARNDT Tabea;2017
HARAN Kiruba S.;KARMAKER Haran;2017
HARAN Kiruba S.;BADCOCK Rod;2017
HARAN Kiruba S.;BUCKLEY Bob;2017
HARAN Kiruba S.;HAUGAN Timothy;2017
HARAN Kiruba S.;IZUMI Mitsuru;2017
HARAN Kiruba S.;LODER David;2017
HARAN Kiruba S.;BRAY James W.;2017
HARAN Kiruba S.;MASSON Philippe;2017
HARAN Kiruba S.;STAUTNER Ernst Wolfgang;2017
KALSI Swarn;ARNDT Tabea;2017
KALSI Swarn;KARMAKER Haran;2017
KALSI Swarn;BADCOCK Rod;2017
KALSI Swarn;BUCKLEY Bob;2017
KALSI Swarn;HAUGAN Timothy;2017
KALSI Swarn;IZUMI Mitsuru;2017
KALSI Swarn;LODER David;2017
KALSI Swarn;BRAY James W.;2017
KALSI Swarn;MASSON Philippe;2017
KALSI Swarn;STAUTNER Ernst Wolfgang;2017
ARNDT Tabea;KARMAKER Haran;2017
ARNDT Tabea;BADCOCK Rod;2017
ARNDT Tabea;BUCKLEY Bob;2017
ARNDT Tabea;HAUGAN Timothy;2017
ARNDT Tabea;IZUMI Mitsuru;2017
ARNDT Tabea;LODER David;2017
ARNDT Tabea;BRAY James W.;2017
ARNDT Tabea;MASSON Philippe;2017
ARNDT Tabea;STAUTNER Ernst Wolfgang;2017
KARMAKER Haran;BADCOCK Rod;2017
KARMAKER Haran;BUCKLEY Bob;2017
KARMAKER Haran;HAUGAN Timothy;2017
KARMAKER Haran;IZUMI Mitsuru;2017
KARMAKER Haran;LODER David;2017
KARMAKER Haran;BRAY James W.;2017
KARMAKER Haran;MASSON Philippe;2017
KARMAKER Haran;STAUTNER Ernst Wolfgang;2017
BADCOCK Rod;BUCKLEY Bob;2017
BADCOCK Rod;HAUGAN Timothy;2017
BADCOCK Rod;IZUMI Mitsuru;2017
BADCOCK Rod;LODER David;2017
BADCOCK Rod;BRAY James W.;2017
BADCOCK Rod;MASSON Philippe;2017
BADCOCK Rod;STAUTNER Ernst Wolfgang;2017
BUCKLEY Bob;HAUGAN Timothy;2017
BUCKLEY Bob;IZUMI Mitsuru;2017
BUCKLEY Bob;LODER David;2017
BUCKLEY Bob;BRAY James W.;2017
BUCKLEY Bob;MASSON Philippe;2017
BUCKLEY Bob;STAUTNER Ernst Wolfgang;2017
HAUGAN Timothy;IZUMI Mitsuru;2017
HAUGAN Timothy;LODER David;2017
HAUGAN Timothy;BRAY James W.;2017
HAUGAN Timothy;MASSON Philippe;2017
HAUGAN Timothy;STAUTNER Ernst Wolfgang;2017
IZUMI Mitsuru;LODER David;2017
IZUMI Mitsuru;BRAY James W.;2017
IZUMI Mitsuru;MASSON Philippe;2017
IZUMI Mitsuru;STAUTNER Ernst Wolfgang;2017
LODER David;BRAY James W.;2017
LODER David;MASSON Philippe;2017
LODER David;STAUTNER Ernst Wolfgang;2017
BRAY James W.;MASSON Philippe;2017
BRAY James W.;STAUTNER Ernst Wolfgang;2017
MASSON Philippe;STAUTNER Ernst Wolfgang;2017
WIKLANDER Maria;STRANDQUIST Johanna;2017
WIKLANDER Maria;OBOL Claire Micaux;2017
WIKLANDER Maria;ERIKSSON Lars E.;2017
WIKLANDER Maria;WINTERLING Jeanette;2017
WIKLANDER Maria;RODRIGUEZ-WALLBERG Kenny A.;2017
WIKLANDER Maria;FUGL-MEYER Kerstin Sjogren;2017
WIKLANDER Maria;AHLGREN Johan;2017
WIKLANDER Maria;LJUNGMAN Per;2017
WIKLANDER Maria;LAMPIC Claudia;2017
WIKLANDER Maria;WETTERGREN Lena;2017
STRANDQUIST Johanna;OBOL Claire Micaux;2017
STRANDQUIST Johanna;ERIKSSON Lars E.;2017
STRANDQUIST Johanna;WINTERLING Jeanette;2017
STRANDQUIST Johanna;RODRIGUEZ-WALLBERG Kenny A.;2017
STRANDQUIST Johanna;FUGL-MEYER Kerstin Sjogren;2017
STRANDQUIST Johanna;AHLGREN Johan;2017
STRANDQUIST Johanna;LJUNGMAN Per;2017
STRANDQUIST Johanna;LAMPIC Claudia;2017
STRANDQUIST Johanna;WETTERGREN Lena;2017
OBOL Claire Micaux;ERIKSSON Lars E.;2017
OBOL Claire Micaux;WINTERLING Jeanette;2017
OBOL Claire Micaux;RODRIGUEZ-WALLBERG Kenny A.;2017
OBOL Claire Micaux;FUGL-MEYER Kerstin Sjogren;2017
OBOL Claire Micaux;AHLGREN Johan;2017
OBOL Claire Micaux;LJUNGMAN Per;2017
OBOL Claire Micaux;LAMPIC Claudia;2017
OBOL Claire Micaux;WETTERGREN Lena;2017
ERIKSSON Lars E.;WINTERLING Jeanette;2017
ERIKSSON Lars E.;RODRIGUEZ-WALLBERG Kenny A.;2017
ERIKSSON Lars E.;FUGL-MEYER Kerstin Sjogren;2017
ERIKSSON Lars E.;AHLGREN Johan;2017
ERIKSSON Lars E.;LJUNGMAN Per;2017
ERIKSSON Lars E.;LAMPIC Claudia;2017
ERIKSSON Lars E.;WETTERGREN Lena;2017
WINTERLING Jeanette;RODRIGUEZ-WALLBERG Kenny A.;2017
WINTERLING Jeanette;FUGL-MEYER Kerstin Sjogren;2017
WINTERLING Jeanette;AHLGREN Johan;2017
WINTERLING Jeanette;LJUNGMAN Per;2017
WINTERLING Jeanette;LAMPIC Claudia;2017
WINTERLING Jeanette;WETTERGREN Lena;2017
RODRIGUEZ-WALLBERG Kenny A.;FUGL-MEYER Kerstin Sjogren;2017
RODRIGUEZ-WALLBERG Kenny A.;AHLGREN Johan;2017
RODRIGUEZ-WALLBERG Kenny A.;LJUNGMAN Per;2017
RODRIGUEZ-WALLBERG Kenny A.;LAMPIC Claudia;2017
RODRIGUEZ-WALLBERG Kenny A.;WETTERGREN Lena;2017
FUGL-MEYER Kerstin Sjogren;AHLGREN Johan;2017
FUGL-MEYER Kerstin Sjogren;LJUNGMAN Per;2017
FUGL-MEYER Kerstin Sjogren;LAMPIC Claudia;2017
FUGL-MEYER Kerstin Sjogren;WETTERGREN Lena;2017
AHLGREN Johan;LJUNGMAN Per;2017
AHLGREN Johan;LAMPIC Claudia;2017
AHLGREN Johan;WETTERGREN Lena;2017
LJUNGMAN Per;LAMPIC Claudia;2017
LJUNGMAN Per;WETTERGREN Lena;2017
LAMPIC Claudia;WETTERGREN Lena;2017
PERIYASAMY Mohan;CHO Jai Young;2017
PERIYASAMY Mohan;AHN Soyeon;2017
PERIYASAMY Mohan;HAN Ho-Seong;2017
PERIYASAMY Mohan;YOON Yoo-Seok;2017
PERIYASAMY Mohan;CHOI YoungRok;2017
PERIYASAMY Mohan;JANG Jae Seong;2017
PERIYASAMY Mohan;KWON Seong Uk;2017
PERIYASAMY Mohan;KIM Sungho;2017
PERIYASAMY Mohan;CHOI Jang Kyu;2017
PERIYASAMY Mohan;GURO Hanisah;2017
CHO Jai Young;AHN Soyeon;2017
CHO Jai Young;HAN Ho-Seong;2017
CHO Jai Young;YOON Yoo-Seok;2017
CHO Jai Young;CHOI YoungRok;2017
CHO Jai Young;JANG Jae Seong;2017
CHO Jai Young;KWON Seong Uk;2017
CHO Jai Young;KIM Sungho;2017
CHO Jai Young;CHOI Jang Kyu;2017
CHO Jai Young;GURO Hanisah;2017
AHN Soyeon;HAN Ho-Seong;2017
AHN Soyeon;YOON Yoo-Seok;2017
AHN Soyeon;CHOI YoungRok;2017
AHN Soyeon;JANG Jae Seong;2017
AHN Soyeon;KWON Seong Uk;2017
AHN Soyeon;KIM Sungho;2017
AHN Soyeon;CHOI Jang Kyu;2017
AHN Soyeon;GURO Hanisah;2017
HAN Ho-Seong;YOON Yoo-Seok;2017
HAN Ho-Seong;CHOI YoungRok;2017
HAN Ho-Seong;JANG Jae Seong;2017
HAN Ho-Seong;KWON Seong Uk;2017
HAN Ho-Seong;KIM Sungho;2017
HAN Ho-Seong;CHOI Jang Kyu;2017
HAN Ho-Seong;GURO Hanisah;2017
YOON Yoo-Seok;CHOI YoungRok;2017
YOON Yoo-Seok;JANG Jae Seong;2017
YOON Yoo-Seok;KWON Seong Uk;2017
YOON Yoo-Seok;KIM Sungho;2017
YOON Yoo-Seok;CHOI Jang Kyu;2017
YOON Yoo-Seok;GURO Hanisah;2017
CHOI YoungRok;JANG Jae Seong;2017
CHOI YoungRok;KWON Seong Uk;2017
CHOI YoungRok;KIM Sungho;2017
CHOI YoungRok;CHOI Jang Kyu;2017
CHOI YoungRok;GURO Hanisah;2017
JANG Jae Seong;KWON Seong Uk;2017
JANG Jae Seong;KIM Sungho;2017
JANG Jae Seong;CHOI Jang Kyu;2017
JANG Jae Seong;GURO Hanisah;2017
KWON Seong Uk;KIM Sungho;2017
KWON Seong Uk;CHOI Jang Kyu;2017
KWON Seong Uk;GURO Hanisah;2017
KIM Sungho;CHOI Jang Kyu;2017
KIM Sungho;GURO Hanisah;2017
CHOI Jang Kyu;GURO Hanisah;2017
RAISON Nicholas;WOOD Thomas;2017
RAISON Nicholas;BRUNCKHORST Oliver;2017
RAISON Nicholas;ABE Takashige;2017
RAISON Nicholas;ROSS Talisa;2017
RAISON Nicholas;CHALLACOMBE Ben;2017
RAISON Nicholas;KHAN Mohammed Shamim;2017
RAISON Nicholas;NOVARA Giacomo;2017
RAISON Nicholas;BUFFI Nicolo;2017
RAISON Nicholas;VAN DER POEL Henk;2017
RAISON Nicholas;MCILHENNY Craig;2017
RAISON Nicholas;DASGUPTA Prokar;2017
RAISON Nicholas;AHMED Kamran;2017
WOOD Thomas;BRUNCKHORST Oliver;2017
WOOD Thomas;ABE Takashige;2017
WOOD Thomas;ROSS Talisa;2017
WOOD Thomas;CHALLACOMBE Ben;2017
WOOD Thomas;KHAN Mohammed Shamim;2017
WOOD Thomas;NOVARA Giacomo;2017
WOOD Thomas;BUFFI Nicolo;2017
WOOD Thomas;VAN DER POEL Henk;2017
WOOD Thomas;MCILHENNY Craig;2017
WOOD Thomas;DASGUPTA Prokar;2017
WOOD Thomas;AHMED Kamran;2017
BRUNCKHORST Oliver;ABE Takashige;2017
BRUNCKHORST Oliver;ROSS Talisa;2017
BRUNCKHORST Oliver;CHALLACOMBE Ben;2017
BRUNCKHORST Oliver;KHAN Mohammed Shamim;2017
BRUNCKHORST Oliver;NOVARA Giacomo;2017
BRUNCKHORST Oliver;BUFFI Nicolo;2017
BRUNCKHORST Oliver;VAN DER POEL Henk;2017
BRUNCKHORST Oliver;MCILHENNY Craig;2017
BRUNCKHORST Oliver;DASGUPTA Prokar;2017
BRUNCKHORST Oliver;AHMED Kamran;2017
ABE Takashige;ROSS Talisa;2017
ABE Takashige;CHALLACOMBE Ben;2017
ABE Takashige;KHAN Mohammed Shamim;2017
ABE Takashige;NOVARA Giacomo;2017
ABE Takashige;BUFFI Nicolo;2017
ABE Takashige;VAN DER POEL Henk;2017
ABE Takashige;MCILHENNY Craig;2017
ABE Takashige;DASGUPTA Prokar;2017
ABE Takashige;AHMED Kamran;2017
ROSS Talisa;CHALLACOMBE Ben;2017
ROSS Talisa;KHAN Mohammed Shamim;2017
ROSS Talisa;NOVARA Giacomo;2017
ROSS Talisa;BUFFI Nicolo;2017
ROSS Talisa;VAN DER POEL Henk;2017
ROSS Talisa;MCILHENNY Craig;2017
ROSS Talisa;DASGUPTA Prokar;2017
ROSS Talisa;AHMED Kamran;2017
CHALLACOMBE Ben;KHAN Mohammed Shamim;2017
CHALLACOMBE Ben;NOVARA Giacomo;2017
CHALLACOMBE Ben;BUFFI Nicolo;2017
CHALLACOMBE Ben;VAN DER POEL Henk;2017
CHALLACOMBE Ben;MCILHENNY Craig;2017
CHALLACOMBE Ben;DASGUPTA Prokar;2017
CHALLACOMBE Ben;AHMED Kamran;2017
KHAN Mohammed Shamim;NOVARA Giacomo;2017
KHAN Mohammed Shamim;BUFFI Nicolo;2017
KHAN Mohammed Shamim;VAN DER POEL Henk;2017
KHAN Mohammed Shamim;MCILHENNY Craig;2017
KHAN Mohammed Shamim;DASGUPTA Prokar;2017
KHAN Mohammed Shamim;AHMED Kamran;2017
NOVARA Giacomo;BUFFI Nicolo;2017
NOVARA Giacomo;VAN DER POEL Henk;2017
NOVARA Giacomo;MCILHENNY Craig;2017
NOVARA Giacomo;DASGUPTA Prokar;2017
NOVARA Giacomo;AHMED Kamran;2017
BUFFI Nicolo;VAN DER POEL Henk;2017
BUFFI Nicolo;MCILHENNY Craig;2017
BUFFI Nicolo;DASGUPTA Prokar;2017
BUFFI Nicolo;AHMED Kamran;2017
VAN DER POEL Henk;MCILHENNY Craig;2017
VAN DER POEL Henk;DASGUPTA Prokar;2017
VAN DER POEL Henk;AHMED Kamran;2017
MCILHENNY Craig;DASGUPTA Prokar;2017
MCILHENNY Craig;AHMED Kamran;2017
DASGUPTA Prokar;AHMED Kamran;2017
KIEL Daniel;ARNOLD Christian;2017
KIEL Daniel;VOIGT Kai-Ingo;2017
ARNOLD Christian;VOIGT Kai-Ingo;2017
SULTAN Jody;BEN-HAIM Gev;2017
SULTAN Jody;HAUNERT Jan-Henrik;2017
SULTAN Jody;DALYOT Sagi;2017
BEN-HAIM Gev;HAUNERT Jan-Henrik;2017
BEN-HAIM Gev;DALYOT Sagi;2017
HAUNERT Jan-Henrik;DALYOT Sagi;2017
STILLWELL Susan B.;VERMEESCH Amber L.;2017
STILLWELL Susan B.;SCOTT Jane G.;2017
VERMEESCH Amber L.;SCOTT Jane G.;2017
ANDRIC Jelena M.;LU Da-Gang;2017
BISWAS Saroj Kr;CHAKRABORTY Manomita;2017
BISWAS Saroj Kr;SINGH Heisnam Rohen;2017
BISWAS Saroj Kr;DEVI Debashree;2017
BISWAS Saroj Kr;PURKAYASTHA Biswajit;2017
BISWAS Saroj Kr;DAS Akhil Kr;2017
CHAKRABORTY Manomita;SINGH Heisnam Rohen;2017
CHAKRABORTY Manomita;DEVI Debashree;2017
CHAKRABORTY Manomita;PURKAYASTHA Biswajit;2017
CHAKRABORTY Manomita;DAS Akhil Kr;2017
SINGH Heisnam Rohen;DEVI Debashree;2017
SINGH Heisnam Rohen;PURKAYASTHA Biswajit;2017
SINGH Heisnam Rohen;DAS Akhil Kr;2017
DEVI Debashree;PURKAYASTHA Biswajit;2017
DEVI Debashree;DAS Akhil Kr;2017
PURKAYASTHA Biswajit;DAS Akhil Kr;2017
LIU Yuhua;DAI Sicheng;2017
LIU Yuhua;WANG Changbo;2017
LIU Yuhua;ZHOU Zhiguang;2017
LIU Yuhua;QU Huamin;2017
DAI Sicheng;WANG Changbo;2017
DAI Sicheng;ZHOU Zhiguang;2017
DAI Sicheng;QU Huamin;2017
WANG Changbo;ZHOU Zhiguang;2017
WANG Changbo;QU Huamin;2017
ZHOU Zhiguang;QU Huamin;2017
ERFANIAN Aida;HU Yaoping;2017
ERFANIAN Aida;ZENG Tao;2017
HU Yaoping;ZENG Tao;2017
NAKAJIMA Kenichi;KUDO Takashi;2017
NAKAJIMA Kenichi;NAKATA Tomoaki;2017
NAKAJIMA Kenichi;KISO Keisuke;2017
NAKAJIMA Kenichi;KASAI Tokuo;2017
NAKAJIMA Kenichi;TANIGUCHI Yasuyo;2017
NAKAJIMA Kenichi;MATSUO Shinro;2017
NAKAJIMA Kenichi;MOMOSE Mitsuru;2017
NAKAJIMA Kenichi;NAKAGAWA Masayasu;2017
NAKAJIMA Kenichi;SARAI Masayoshi;2017
NAKAJIMA Kenichi;HIDA Satoshi;2017
NAKAJIMA Kenichi;TANAKA Hirokazu;2017
NAKAJIMA Kenichi;YOKOYAMA Kunihiko;2017
NAKAJIMA Kenichi;OKUDA Koichi;2017
NAKAJIMA Kenichi;EDENBRANDT Lars;2017
KUDO Takashi;NAKATA Tomoaki;2017
KUDO Takashi;KISO Keisuke;2017
KUDO Takashi;KASAI Tokuo;2017
KUDO Takashi;TANIGUCHI Yasuyo;2017
KUDO Takashi;MATSUO Shinro;2017
KUDO Takashi;MOMOSE Mitsuru;2017
KUDO Takashi;NAKAGAWA Masayasu;2017
KUDO Takashi;SARAI Masayoshi;2017
KUDO Takashi;HIDA Satoshi;2017
KUDO Takashi;TANAKA Hirokazu;2017
KUDO Takashi;YOKOYAMA Kunihiko;2017
KUDO Takashi;OKUDA Koichi;2017
KUDO Takashi;EDENBRANDT Lars;2017
NAKATA Tomoaki;KISO Keisuke;2017
NAKATA Tomoaki;KASAI Tokuo;2017
NAKATA Tomoaki;TANIGUCHI Yasuyo;2017
NAKATA Tomoaki;MATSUO Shinro;2017
NAKATA Tomoaki;MOMOSE Mitsuru;2017
NAKATA Tomoaki;NAKAGAWA Masayasu;2017
NAKATA Tomoaki;SARAI Masayoshi;2017
NAKATA Tomoaki;HIDA Satoshi;2017
NAKATA Tomoaki;TANAKA Hirokazu;2017
NAKATA Tomoaki;YOKOYAMA Kunihiko;2017
NAKATA Tomoaki;OKUDA Koichi;2017
NAKATA Tomoaki;EDENBRANDT Lars;2017
KISO Keisuke;KASAI Tokuo;2017
KISO Keisuke;TANIGUCHI Yasuyo;2017
KISO Keisuke;MATSUO Shinro;2017
KISO Keisuke;MOMOSE Mitsuru;2017
KISO Keisuke;NAKAGAWA Masayasu;2017
KISO Keisuke;SARAI Masayoshi;2017
KISO Keisuke;HIDA Satoshi;2017
KISO Keisuke;TANAKA Hirokazu;2017
KISO Keisuke;YOKOYAMA Kunihiko;2017
KISO Keisuke;OKUDA Koichi;2017
KISO Keisuke;EDENBRANDT Lars;2017
KASAI Tokuo;TANIGUCHI Yasuyo;2017
KASAI Tokuo;MATSUO Shinro;2017
KASAI Tokuo;MOMOSE Mitsuru;2017
KASAI Tokuo;NAKAGAWA Masayasu;2017
KASAI Tokuo;SARAI Masayoshi;2017
KASAI Tokuo;HIDA Satoshi;2017
KASAI Tokuo;TANAKA Hirokazu;2017
KASAI Tokuo;YOKOYAMA Kunihiko;2017
KASAI Tokuo;OKUDA Koichi;2017
KASAI Tokuo;EDENBRANDT Lars;2017
TANIGUCHI Yasuyo;MATSUO Shinro;2017
TANIGUCHI Yasuyo;MOMOSE Mitsuru;2017
TANIGUCHI Yasuyo;NAKAGAWA Masayasu;2017
TANIGUCHI Yasuyo;SARAI Masayoshi;2017
TANIGUCHI Yasuyo;HIDA Satoshi;2017
TANIGUCHI Yasuyo;TANAKA Hirokazu;2017
TANIGUCHI Yasuyo;YOKOYAMA Kunihiko;2017
TANIGUCHI Yasuyo;OKUDA Koichi;2017
TANIGUCHI Yasuyo;EDENBRANDT Lars;2017
MATSUO Shinro;MOMOSE Mitsuru;2017
MATSUO Shinro;NAKAGAWA Masayasu;2017
MATSUO Shinro;SARAI Masayoshi;2017
MATSUO Shinro;HIDA Satoshi;2017
MATSUO Shinro;TANAKA Hirokazu;2017
MATSUO Shinro;YOKOYAMA Kunihiko;2017
MATSUO Shinro;OKUDA Koichi;2017
MATSUO Shinro;EDENBRANDT Lars;2017
MOMOSE Mitsuru;NAKAGAWA Masayasu;2017
MOMOSE Mitsuru;SARAI Masayoshi;2017
MOMOSE Mitsuru;HIDA Satoshi;2017
MOMOSE Mitsuru;TANAKA Hirokazu;2017
MOMOSE Mitsuru;YOKOYAMA Kunihiko;2017
MOMOSE Mitsuru;OKUDA Koichi;2017
MOMOSE Mitsuru;EDENBRANDT Lars;2017
NAKAGAWA Masayasu;SARAI Masayoshi;2017
NAKAGAWA Masayasu;HIDA Satoshi;2017
NAKAGAWA Masayasu;TANAKA Hirokazu;2017
NAKAGAWA Masayasu;YOKOYAMA Kunihiko;2017
NAKAGAWA Masayasu;OKUDA Koichi;2017
NAKAGAWA Masayasu;EDENBRANDT Lars;2017
SARAI Masayoshi;HIDA Satoshi;2017
SARAI Masayoshi;TANAKA Hirokazu;2017
SARAI Masayoshi;YOKOYAMA Kunihiko;2017
SARAI Masayoshi;OKUDA Koichi;2017
SARAI Masayoshi;EDENBRANDT Lars;2017
HIDA Satoshi;TANAKA Hirokazu;2017
HIDA Satoshi;YOKOYAMA Kunihiko;2017
HIDA Satoshi;OKUDA Koichi;2017
HIDA Satoshi;EDENBRANDT Lars;2017
TANAKA Hirokazu;YOKOYAMA Kunihiko;2017
TANAKA Hirokazu;OKUDA Koichi;2017
TANAKA Hirokazu;EDENBRANDT Lars;2017
YOKOYAMA Kunihiko;OKUDA Koichi;2017
YOKOYAMA Kunihiko;EDENBRANDT Lars;2017
OKUDA Koichi;EDENBRANDT Lars;2017
VILLIERS-TUTHILL Amanda;DOULOUGERI Karolina;2017
VILLIERS-TUTHILL Amanda;MCGEE Hannah;2017
VILLIERS-TUTHILL Amanda;MONTGOMERY Anthony;2017
VILLIERS-TUTHILL Amanda;PANAGOPOULOU Efharis;2017
VILLIERS-TUTHILL Amanda;MORGAN Karen;2017
DOULOUGERI Karolina;MCGEE Hannah;2017
DOULOUGERI Karolina;MONTGOMERY Anthony;2017
DOULOUGERI Karolina;PANAGOPOULOU Efharis;2017
DOULOUGERI Karolina;MORGAN Karen;2017
MCGEE Hannah;MONTGOMERY Anthony;2017
MCGEE Hannah;PANAGOPOULOU Efharis;2017
MCGEE Hannah;MORGAN Karen;2017
MONTGOMERY Anthony;PANAGOPOULOU Efharis;2017
MONTGOMERY Anthony;MORGAN Karen;2017
PANAGOPOULOU Efharis;MORGAN Karen;2017
KREUZER Thomas M.;WILDE Martina;2017
KREUZER Thomas M.;TERHORST Birgit;2017
KREUZER Thomas M.;DAMM Bodo;2017
WILDE Martina;TERHORST Birgit;2017
WILDE Martina;DAMM Bodo;2017
TERHORST Birgit;DAMM Bodo;2017
DE MAIO Carmen;FENZA Giuseppe;2017
DE MAIO Carmen;LOIA Vincenzo;2017
DE MAIO Carmen;ORCIUOLI Francesco;2017
FENZA Giuseppe;LOIA Vincenzo;2017
FENZA Giuseppe;ORCIUOLI Francesco;2017
LOIA Vincenzo;ORCIUOLI Francesco;2017
MISRA Sumit;SAHA Sanjoy Kumar;2017
MISRA Sumit;MAZUMDAR Chandan;2017
SAHA Sanjoy Kumar;MAZUMDAR Chandan;2017
DO CARMO Breno Barros Telles;MARGNI Manuele;2017
DO CARMO Breno Barros Telles;BAPTISTE Pierre;2017
MARGNI Manuele;BAPTISTE Pierre;2017
MUSTAQEEM Anam;ANWAR Syed Muhammad;2017
MUSTAQEEM Anam;KHAN Abdul Rashid;2017
MUSTAQEEM Anam;MAJID Muhammad;2017
ANWAR Syed Muhammad;KHAN Abdul Rashid;2017
ANWAR Syed Muhammad;MAJID Muhammad;2017
KHAN Abdul Rashid;MAJID Muhammad;2017
KHAJOUEI Hamid;KHAJOUEI Reza;2017
WIJEKUMAR Kausalai (Kay);MEYER Bonnie J. F.;2017
WIJEKUMAR Kausalai (Kay);LEI Puiwa;2017
WIJEKUMAR Kausalai (Kay);CHENG Weiyi;2017
WIJEKUMAR Kausalai (Kay);JI Xuejun;2017
WIJEKUMAR Kausalai (Kay);JOSHI R. M.;2017
MEYER Bonnie J. F.;LEI Puiwa;2017
MEYER Bonnie J. F.;CHENG Weiyi;2017
MEYER Bonnie J. F.;JI Xuejun;2017
MEYER Bonnie J. F.;JOSHI R. M.;2017
LEI Puiwa;CHENG Weiyi;2017
LEI Puiwa;JI Xuejun;2017
LEI Puiwa;JOSHI R. M.;2017
CHENG Weiyi;JI Xuejun;2017
CHENG Weiyi;JOSHI R. M.;2017
JI Xuejun;JOSHI R. M.;2017
CAMPBELL G. A.;LILLY A.;2017
CAMPBELL G. A.;CORSTANJE R.;2017
CAMPBELL G. A.;MAYR T. R.;2017
CAMPBELL G. A.;BLACK H. I. J.;2017
LILLY A.;CORSTANJE R.;2017
LILLY A.;MAYR T. R.;2017
LILLY A.;BLACK H. I. J.;2017
CORSTANJE R.;MAYR T. R.;2017
CORSTANJE R.;BLACK H. I. J.;2017
MAYR T. R.;BLACK H. I. J.;2017
FRIEBE Andreas;SANDNER Peter;2017
FRIEBE Andreas;SCHMIDTKO Achim;2017
SANDNER Peter;SCHMIDTKO Achim;2017
NUNES Ingrid;JANNACH Dietmar;2017
LOITSCH Claudia;WEBER Gerhard;2017
LOITSCH Claudia;KAKLANIS Nikolaos;2017
LOITSCH Claudia;VOTIS Konstantinos;2017
LOITSCH Claudia;TZOVARAS Dimitrios;2017
WEBER Gerhard;KAKLANIS Nikolaos;2017
WEBER Gerhard;VOTIS Konstantinos;2017
WEBER Gerhard;TZOVARAS Dimitrios;2017
KAKLANIS Nikolaos;VOTIS Konstantinos;2017
KAKLANIS Nikolaos;TZOVARAS Dimitrios;2017
VOTIS Konstantinos;TZOVARAS Dimitrios;2017
CANNARILE F.;COMPARE M.;2017
CANNARILE F.;ROSSI E.;2017
CANNARILE F.;ZIO E.;2017
COMPARE M.;ROSSI E.;2017
COMPARE M.;ZIO E.;2017
ROSSI E.;ZIO E.;2017
ALWASEL Abdullatif;SABET Ali;2017
ALWASEL Abdullatif;NAHANGI Mohammad;2017
ALWASEL Abdullatif;HAAS Carl T.;2017
ALWASEL Abdullatif;ABDEL-RAHMAN Eihab;2017
SABET Ali;NAHANGI Mohammad;2017
SABET Ali;HAAS Carl T.;2017
SABET Ali;ABDEL-RAHMAN Eihab;2017
NAHANGI Mohammad;HAAS Carl T.;2017
